title,metaphoneA,metaphoneB,ngramsA,ngramsB
kalash jagran,KLXJKRN,,"[('K', 'L', 'X'), ('L', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
shramik jagran,XRMKJKRN,,"[('X', 'R', 'M'), ('R', 'M', 'K'), ('M', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jharkhand jagran,JRKNTJKRN,ARKNTJKRN,"[('J', 'R', 'K'), ('R', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'R', 'K'), ('R', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jagran mantra,JKRNMNTR,AKRNMNTR,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'M'), ('N', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'R')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'M'), ('N', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'R')]"
samajwadi jagran,SMJTJKRN,,"[('S', 'M', 'J'), ('M', 'J', 'T'), ('J', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
vyavsai jagran,FFSJKRN,,"[('F', 'F', 'S'), ('F', 'S', 'J'), ('S', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
mahajagran,MHJKRN,MHHKRN,"[('M', 'H', 'J'), ('H', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('M', 'H', 'H'), ('H', 'H', 'K'), ('H', 'K', 'R'), ('K', 'R', 'N')]"
bahujan jagran,PHJNJKRN,PHHNJKRN,"[('P', 'H', 'J'), ('H', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('P', 'H', 'H'), ('H', 'H', 'N'), ('H', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jagran times,JKRNTMS,AKRNTMS,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
jagran junction,JKRNJNKXN,AKRNJNKXN,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'K'), ('N', 'K', 'X'), ('K', 'X', 'N')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'K'), ('N', 'K', 'X'), ('K', 'X', 'N')]"
pravasi jagran,PRFSJKRN,,"[('P', 'R', 'F'), ('R', 'F', 'S'), ('F', 'S', 'J'), ('S', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
sewak jagran,SKJKRN,,"[('S', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
nandigiram jagran,NNTJRMJKRN,NNTKRMJKRN,"[('N', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'R'), ('J', 'R', 'M'), ('R', 'M', 'J'), ('M', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('N', 'N', 'T'), ('N', 'T', 'K'), ('T', 'K', 'R'), ('K', 'R', 'M'), ('R', 'M', 'J'), ('M', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
prakhar jagran,PRKRJKRN,,"[('P', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
yug prabhat jagran,AKPRPTJKRN,,"[('A', 'K', 'P'), ('K', 'P', 'R'), ('P', 'R', 'P'), ('R', 'P', 'T'), ('P', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jan jan jagran,JNJNJKRN,ANJNJKRN,"[('J', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jagran law review,JKRNLRF,AKRNLRFF,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'R'), ('L', 'R', 'F')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'R'), ('L', 'R', 'F'), ('R', 'F', 'F')]"
patrakar jagran,PTRKRJKRN,,"[('P', 'T', 'R'), ('T', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
manav jagran,MNFJKRN,,"[('M', 'N', 'F'), ('N', 'F', 'J'), ('F', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
krisak jagran,KRSKJKRN,,"[('K', 'R', 'S'), ('R', 'S', 'K'), ('S', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
krishi jagran saptahik,KRXJKRNSPTHK,,"[('K', 'R', 'X'), ('R', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'P'), ('S', 'P', 'T'), ('P', 'T', 'H'), ('T', 'H', 'K')]",[]
vande jagran,FNTJKRN,,"[('F', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
kaurav jagran,KRFJKRN,,"[('K', 'R', 'F'), ('R', 'F', 'J'), ('F', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
shosit jagran,XSTJKRN,,"[('X', 'S', 'T'), ('S', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
balmik jagran,PLMKJKRN,,"[('P', 'L', 'M'), ('L', 'M', 'K'), ('M', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
pradesh jagran,PRTXJKRN,,"[('P', 'R', 'T'), ('R', 'T', 'X'), ('T', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
aatm jagran,ATMJKRN,,"[('A', 'T', 'M'), ('T', 'M', 'J'), ('M', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
khatik jagran,KTKJKRN,,"[('K', 'T', 'K'), ('T', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
goswami jagran,KSMJKRN,,"[('K', 'S', 'M'), ('S', 'M', 'J'), ('M', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
pal jagran,PLJKRN,,"[('P', 'L', 'J'), ('L', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
lok jagran,LKJKRN,,"[('L', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
prakhar vaishya - prakhar rashtra vaishya jagran,PRKRFXPRKRRXTRFXJKRN,,"[('P', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'F'), ('R', 'F', 'X'), ('F', 'X', 'P'), ('X', 'P', 'R'), ('P', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'R'), ('R', 'R', 'X'), ('R', 'X', 'T'), ('X', 'T', 'R'), ('T', 'R', 'F'), ('R', 'F', 'X'), ('F', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jabalpur jagran,JPLPRJKRN,APLPRJKRN,"[('J', 'P', 'L'), ('P', 'L', 'P'), ('L', 'P', 'R'), ('P', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'P', 'L'), ('P', 'L', 'P'), ('L', 'P', 'R'), ('P', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
rashtriya jan jagran,RXTRJNJKRN,,"[('R', 'X', 'T'), ('X', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
rastra jagran,RSTRJKRN,,"[('R', 'S', 'T'), ('S', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
vidhhya jagran,FTJKRN,,"[('F', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
