title,metaphoneA,metaphoneB,ngramsA,ngramsB
unique civil times,ANKSFLTMS,,"[('A', 'N', 'K'), ('N', 'K', 'S'), ('K', 'S', 'F'), ('S', 'F', 'L'), ('F', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
hosiery times,HSRTMS,,"[('H', 'S', 'R'), ('S', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
nai dilli times,NTLTMS,,"[('N', 'T', 'L'), ('T', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
rohini samarpan times,RHNSMRPNTMS,,"[('R', 'H', 'N'), ('H', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'R'), ('M', 'R', 'P'), ('R', 'P', 'N'), ('P', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
colony times,KLNTMS,,"[('K', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
jat times patrika,JTTMSPTRK,ATTMSPTRK,"[('J', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'P'), ('S', 'P', 'T'), ('P', 'T', 'R'), ('T', 'R', 'K')]","[('A', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'P'), ('S', 'P', 'T'), ('P', 'T', 'R'), ('T', 'R', 'K')]"
the christian times,0XRSXNTMS,TKRSXNTMS,"[('0', 'X', 'R'), ('X', 'R', 'S'), ('R', 'S', 'X'), ('S', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'K', 'R'), ('K', 'R', 'S'), ('R', 'S', 'X'), ('S', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
rastriya paramhans times,RSTRPRMNSTMS,,"[('R', 'S', 'T'), ('S', 'T', 'R'), ('T', 'R', 'P'), ('R', 'P', 'R'), ('P', 'R', 'M'), ('R', 'M', 'N'), ('M', 'N', 'S'), ('N', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
kartavya times,KRTFTMS,,"[('K', 'R', 'T'), ('R', 'T', 'F'), ('T', 'F', 'T'), ('F', 'T', 'M'), ('T', 'M', 'S')]",[]
dhiran times,TRNTMS,,"[('T', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
logistics times,LJSTKSTMS,LKSTKSTMS,"[('L', 'J', 'S'), ('J', 'S', 'T'), ('S', 'T', 'K'), ('T', 'K', 'S'), ('K', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]","[('L', 'K', 'S'), ('K', 'S', 'T'), ('S', 'T', 'K'), ('T', 'K', 'S'), ('K', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]"
mauka times,MKTMS,,"[('M', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
sharthy lotary times,XR0LTRTMS,XRTLTRTMS,"[('X', 'R', '0'), ('R', '0', 'L'), ('0', 'L', 'T'), ('L', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]","[('X', 'R', 'T'), ('R', 'T', 'L'), ('T', 'L', 'T'), ('L', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]"
consumer times,KNSMRTMS,,"[('K', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'R'), ('M', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
vir parwana times,FRPRNTMS,,"[('F', 'R', 'P'), ('R', 'P', 'R'), ('P', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
the export times,0KSPRTTMS,TKSPRTTMS,"[('0', 'K', 'S'), ('K', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'K', 'S'), ('K', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
divya mirror times,TFMRRTMS,,"[('T', 'F', 'M'), ('F', 'M', 'R'), ('M', 'R', 'R'), ('R', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
the sanjivani medical times,0SNJFNMTKLTMS,TSNJFNMTKLTMS,"[('0', 'S', 'N'), ('S', 'N', 'J'), ('N', 'J', 'F'), ('J', 'F', 'N'), ('F', 'N', 'M'), ('N', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'S', 'N'), ('S', 'N', 'J'), ('N', 'J', 'F'), ('J', 'F', 'N'), ('F', 'N', 'M'), ('N', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]"
sri sai sumiran times,SRSSMRNTMS,,"[('S', 'R', 'S'), ('R', 'S', 'S'), ('S', 'S', 'M'), ('S', 'M', 'R'), ('M', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
shri balaji aashirwad times,XRPLJXRTTMS,,"[('X', 'R', 'P'), ('R', 'P', 'L'), ('P', 'L', 'J'), ('L', 'J', 'X'), ('J', 'X', 'R'), ('X', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
geeta times,JTTMS,KTTMS,"[('J', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('K', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
the shephard times,0XFRTTMS,TXFRTTMS,"[('0', 'X', 'F'), ('X', 'F', 'R'), ('F', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'X', 'F'), ('X', 'F', 'R'), ('F', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
leader times,LTRTMS,,"[('L', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
public complaint times,PPLKMPLNTTMS,,"[('P', 'P', 'L'), ('P', 'L', 'K'), ('L', 'K', 'M'), ('K', 'M', 'P'), ('M', 'P', 'L'), ('P', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
egjim law times,AKJMLTMS,,"[('A', 'K', 'J'), ('K', 'J', 'M'), ('J', 'M', 'L'), ('M', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
indian farmer times,ANTNFRMRTMS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'F'), ('N', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'R'), ('M', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
shri madh valmiki times,XRMTFLMKTMS,,"[('X', 'R', 'M'), ('R', 'M', 'T'), ('M', 'T', 'F'), ('T', 'F', 'L'), ('F', 'L', 'M'), ('L', 'M', 'K'), ('M', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
sobti times,SPTTMS,,"[('S', 'P', 'T'), ('P', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
green earth times,KRNR0TMS,KRNRTTMS,"[('K', 'R', 'N'), ('R', 'N', 'R'), ('N', 'R', '0'), ('R', '0', 'T'), ('0', 'T', 'M'), ('T', 'M', 'S')]","[('K', 'R', 'N'), ('R', 'N', 'R'), ('N', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
gobar times,KPRTMS,,"[('K', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
arhat jain times,ARTJNTMS,,"[('A', 'R', 'T'), ('R', 'T', 'J'), ('T', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
b k times,PKTMS,,"[('P', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
asian homieopathic times,ASNMP0KTMS,AXNMPTKTMS,"[('A', 'S', 'N'), ('S', 'N', 'M'), ('N', 'M', 'P'), ('M', 'P', '0'), ('P', '0', 'K'), ('0', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'X', 'N'), ('X', 'N', 'M'), ('N', 'M', 'P'), ('M', 'P', 'T'), ('P', 'T', 'K'), ('T', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]"
world news times,ARLTNSTMS,FRLTNSTMS,"[('A', 'R', 'L'), ('R', 'L', 'T'), ('L', 'T', 'N'), ('T', 'N', 'S'), ('N', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]","[('F', 'R', 'L'), ('R', 'L', 'T'), ('L', 'T', 'N'), ('T', 'N', 'S'), ('N', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]"
jyotish times,JTXTMS,ATXTMS,"[('J', 'T', 'X'), ('T', 'X', 'T'), ('X', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'T', 'X'), ('T', 'X', 'T'), ('X', 'T', 'M'), ('T', 'M', 'S')]"
ripul times,RPLTMS,,"[('R', 'P', 'L'), ('P', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
tent samachar times,TNTSMKRTMS,,"[('T', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'M'), ('S', 'M', 'K'), ('M', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
stationery times,STXNRTMS,,"[('S', 'T', 'X'), ('T', 'X', 'N'), ('X', 'N', 'R'), ('N', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
maithili times,M0LTMS,MTLTMS,"[('M', '0', 'L'), ('0', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]","[('M', 'T', 'L'), ('T', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]"
needs times daily,NTSTMSTL,,"[('N', 'T', 'S'), ('T', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'T'), ('S', 'T', 'L')]",[]
london punjab times,LNTNPNJPTMS,,"[('L', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'N'), ('P', 'N', 'J'), ('N', 'J', 'P'), ('J', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
the coal times,0KLTMS,TKLTMS,"[('0', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]"
rashtriya vishal times,RXTRFXLTMS,,"[('R', 'X', 'T'), ('X', 'T', 'R'), ('T', 'R', 'F'), ('R', 'F', 'X'), ('F', 'X', 'L'), ('X', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
ativeer times,ATFRTMS,,"[('A', 'T', 'F'), ('T', 'F', 'R'), ('F', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
chitransh international times,XTRNXNTRNXNLTMS,,"[('X', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'N'), ('X', 'N', 'L'), ('N', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
fore front times,FRFRNTTMS,,"[('F', 'R', 'F'), ('R', 'F', 'R'), ('F', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
engineer patrakar times,ANJNRPTRKRTMS,ANKNRPTRKRTMS,"[('A', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'R'), ('N', 'R', 'P'), ('R', 'P', 'T'), ('P', 'T', 'R'), ('T', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'N', 'K'), ('N', 'K', 'N'), ('K', 'N', 'R'), ('N', 'R', 'P'), ('R', 'P', 'T'), ('P', 'T', 'R'), ('T', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]"
shakti times,XKTTMS,,"[('X', 'K', 'T'), ('K', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
quality times,KLTTMS,,"[('K', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
prime gyne times,PRMKNTMS,PRMJNTMS,"[('P', 'R', 'M'), ('R', 'M', 'K'), ('M', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('P', 'R', 'M'), ('R', 'M', 'J'), ('M', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
next door times,NKSTTRTMS,,"[('N', 'K', 'S'), ('K', 'S', 'T'), ('S', 'T', 'T'), ('T', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
fortune college times,FRTNKLJTMS,FRTNKLKTMS,"[('F', 'R', 'T'), ('R', 'T', 'N'), ('T', 'N', 'K'), ('N', 'K', 'L'), ('K', 'L', 'J'), ('L', 'J', 'T'), ('J', 'T', 'M'), ('T', 'M', 'S')]","[('F', 'R', 'T'), ('R', 'T', 'N'), ('T', 'N', 'K'), ('N', 'K', 'L'), ('K', 'L', 'K'), ('L', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]"
film world times,FLMRLTTMS,,"[('F', 'L', 'M'), ('L', 'M', 'R'), ('M', 'R', 'L'), ('R', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
udyog times,ATKTMS,,"[('A', 'T', 'K'), ('T', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
business promotion times,PSNSPRMXNTMS,,"[('P', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'M'), ('R', 'M', 'X'), ('M', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
siyasi times,SSTMS,,"[('S', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
new delhi times,NTLTMS,,"[('N', 'T', 'L'), ('T', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
vivekanand times,FFKNNTTMS,,"[('F', 'F', 'K'), ('F', 'K', 'N'), ('K', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
cps times,KPSTMS,,"[('K', 'P', 'S'), ('P', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
n.l.p. times,NNLLPPTMS,,"[('N', 'N', 'L'), ('N', 'L', 'L'), ('L', 'L', 'P'), ('L', 'P', 'P'), ('P', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
dalit times,TLTTMS,,"[('T', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
maharaja surajmal times,MHRJSRMLTMS,MHRHSRMLTMS,"[('M', 'H', 'R'), ('H', 'R', 'J'), ('R', 'J', 'S'), ('J', 'S', 'R'), ('S', 'R', 'M'), ('R', 'M', 'L'), ('M', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]","[('M', 'H', 'R'), ('H', 'R', 'H'), ('R', 'H', 'S'), ('H', 'S', 'R'), ('S', 'R', 'M'), ('R', 'M', 'L'), ('M', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]"
shapath times,XP0TMS,XPTTMS,"[('X', 'P', '0'), ('P', '0', 'T'), ('0', 'T', 'M'), ('T', 'M', 'S')]","[('X', 'P', 'T'), ('P', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
centax law times,SNTKSLTMS,,"[('S', 'N', 'T'), ('N', 'T', 'K'), ('T', 'K', 'S'), ('K', 'S', 'L'), ('S', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
pushp ritu times,PXPRTTMS,,"[('P', 'X', 'P'), ('X', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
konark times,KNRKTMS,,"[('K', 'N', 'R'), ('N', 'R', 'K'), ('R', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
navdeep gopan times,NFTPKPNTMS,,"[('N', 'F', 'T'), ('F', 'T', 'P'), ('T', 'P', 'K'), ('P', 'K', 'P'), ('K', 'P', 'N'), ('P', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
green acres and techno plaza times,KRNKRSNTTKNPLSTMS,,"[('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'R'), ('K', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'P'), ('N', 'P', 'L'), ('P', 'L', 'S'), ('L', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
electricals & electronics online times,ALKTRKLSSLKTRNKSNLNTMS,,"[('A', 'L', 'K'), ('L', 'K', 'T'), ('K', 'T', 'R'), ('T', 'R', 'K'), ('R', 'K', 'L'), ('K', 'L', 'S'), ('L', 'S', 'S'), ('S', 'S', 'L'), ('S', 'L', 'K'), ('L', 'K', 'T'), ('K', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'S'), ('K', 'S', 'N'), ('S', 'N', 'L'), ('N', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
vartman bharat times,FRTMNPRTTMS,,"[('F', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'N'), ('M', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
shri sai nazar times,XRSNSRTMS,,"[('X', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'R'), ('S', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
karobar times media,KRPRTMSMT,,"[('K', 'R', 'P'), ('R', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'M'), ('S', 'M', 'T')]",[]
bureaucracy times,PRKRSTMS,,"[('P', 'R', 'K'), ('R', 'K', 'R'), ('K', 'R', 'S'), ('R', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
plaza times,PLSTMS,,"[('P', 'L', 'S'), ('L', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
usha times,AXTMS,,"[('A', 'X', 'T'), ('X', 'T', 'M'), ('T', 'M', 'S')]",[]
optical times,APTKLTMS,,"[('A', 'P', 'T'), ('P', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
koli times,KLTMS,,"[('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
radio times,RTTMS,,"[('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
shree vijay inder times,XRFJNTRTMS,XRFHNTRTMS,"[('X', 'R', 'F'), ('R', 'F', 'J'), ('F', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]","[('X', 'R', 'F'), ('R', 'F', 'H'), ('F', 'H', 'N'), ('H', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]"
the rajput times,0RJPTTMS,TRJPTTMS,"[('0', 'R', 'J'), ('R', 'J', 'P'), ('J', 'P', 'T'), ('P', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'R', 'J'), ('R', 'J', 'P'), ('J', 'P', 'T'), ('P', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
pleasure times,PLSRTMS,,"[('P', 'L', 'S'), ('L', 'S', 'R'), ('S', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
apradh times,APRTTMS,,"[('A', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
creative school times,KRTFSKLTMS,,"[('K', 'R', 'T'), ('R', 'T', 'F'), ('T', 'F', 'S'), ('F', 'S', 'K'), ('S', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
ariya nirdeshka times,ARNRTXKTMS,,"[('A', 'R', 'N'), ('R', 'N', 'R'), ('N', 'R', 'T'), ('R', 'T', 'X'), ('T', 'X', 'K'), ('X', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
eros times,ARSTMS,,"[('A', 'R', 'S'), ('R', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
vipassana times,FPSNTMS,,"[('F', 'P', 'S'), ('P', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
swaraj janata times,SRJJNTTMS,XRJJNTTMS,"[('S', 'R', 'J'), ('R', 'J', 'J'), ('J', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('X', 'R', 'J'), ('R', 'J', 'J'), ('J', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
vedic yug times,FTKKTMS,,"[('F', 'T', 'K'), ('T', 'K', 'K'), ('K', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
nav sansar times,NFSNSRTMS,,"[('N', 'F', 'S'), ('F', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'R'), ('S', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
fintra times,FNTRTMS,,"[('F', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
the world times,0RLTTMS,TRLTTMS,"[('0', 'R', 'L'), ('R', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'R', 'L'), ('R', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
kaihar times,KHRTMS,,"[('K', 'H', 'R'), ('H', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
shool times,XLTMS,,"[('X', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
kalp times,KLPTMS,,"[('K', 'L', 'P'), ('L', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
cricket times,KRKTTMS,,"[('K', 'R', 'K'), ('R', 'K', 'T'), ('K', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
dwarka info times,TRKNFTMS,,"[('T', 'R', 'K'), ('R', 'K', 'N'), ('K', 'N', 'F'), ('N', 'F', 'T'), ('F', 'T', 'M'), ('T', 'M', 'S')]",[]
times what's up,TMSTTSP,,"[('T', 'M', 'S'), ('M', 'S', 'T'), ('S', 'T', 'T'), ('T', 'T', 'S'), ('T', 'S', 'P')]",[]
we serve times,ASRFTMS,FSRFTMS,"[('A', 'S', 'R'), ('S', 'R', 'F'), ('R', 'F', 'T'), ('F', 'T', 'M'), ('T', 'M', 'S')]","[('F', 'S', 'R'), ('S', 'R', 'F'), ('R', 'F', 'T'), ('F', 'T', 'M'), ('T', 'M', 'S')]"
vyapar times,FPRTMS,,"[('F', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
art times,ARTTMS,,"[('A', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
drug today medical times,TRKTTMTKLTMS,,"[('T', 'R', 'K'), ('R', 'K', 'T'), ('K', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
market times,MRKTTMS,,"[('M', 'R', 'K'), ('R', 'K', 'T'), ('K', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
civil services aspirants times,SFLSRFSSSPRNTSTMS,,"[('S', 'F', 'L'), ('F', 'L', 'S'), ('L', 'S', 'R'), ('S', 'R', 'F'), ('R', 'F', 'S'), ('F', 'S', 'S'), ('S', 'S', 'S'), ('S', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
civil law times,SFLLTMS,,"[('S', 'F', 'L'), ('F', 'L', 'L'), ('L', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
tulsi times,TLSTMS,,"[('T', 'L', 'S'), ('L', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
don times,TNTMS,,"[('T', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
mook tantra times,MKTNTRTMS,,"[('M', 'K', 'T'), ('K', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
gagandeep times,KKNTPTMS,,"[('K', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'P'), ('T', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
value creation times,FLKRXNTMS,,"[('F', 'L', 'K'), ('L', 'K', 'R'), ('K', 'R', 'X'), ('R', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
edu hub times,ATPTMS,,"[('A', 'T', 'P'), ('T', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
aman bhaichara times,AMNPXRTMS,AMNPKRTMS,"[('A', 'M', 'N'), ('M', 'N', 'P'), ('N', 'P', 'X'), ('P', 'X', 'R'), ('X', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'M', 'N'), ('M', 'N', 'P'), ('N', 'P', 'K'), ('P', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]"
shrota times,XRTTMS,,"[('X', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
